# Harness Tester Results
# DUT ID,HT-0008
# Operator,
# Netlist,
# Verdict,FAIL
# Date/Time,2026-07-27 14:11:08

Test #,Source,Part Number,Conn ID,Src Pin Label,Src Pin #,Status,Dst Pin #,Dst Pin Label,Conn ID,Part Number,Destination
1,,,,Pin 1,1,NOT CONNECTED,1,Pin 1,,,
2,,,,Pin 2,2,NOT CONNECTED,2,Pin 2,,,
3,,,,Pin 3,3,NOT CONNECTED,3,Pin 3,,,
4,,,,Pin 4,4,NOT CONNECTED,4,Pin 4,,,
5,,,,Pin 5,5,NOT CONNECTED,5,Pin 5,,,
6,,,,Pin 6,6,NOT CONNECTED,6,Pin 6,,,
7,,,,Pin 7,7,NOT CONNECTED,7,Pin 7,,,
8,,,,Pin 8,8,NOT CONNECTED,8,Pin 8,,,
9,,,,Pin 9,9,NOT CONNECTED,9,Pin 9,,,
10,,,,Pin 10,10,NOT CONNECTED,10,Pin 10,,,
11,,,,Pin 11,11,NOT CONNECTED,11,Pin 11,,,
12,,,,Pin 12,12,NOT CONNECTED,12,Pin 12,,,
13,,,,Pin 13,13,NOT CONNECTED,13,Pin 13,,,
14,,,,Pin 14,14,NOT CONNECTED,14,Pin 14,,,
15,,,,Pin 15,15,NOT CONNECTED,15,Pin 15,,,
16,,,,Pin 1,1,NOT CONNECTED,1,Pin 1,,,
17,,,,Pin 2,2,NOT CONNECTED,2,Pin 2,,,
18,,,,Pin 3,3,NOT CONNECTED,3,Pin 3,,,
19,,,,Pin 4,4,NOT CONNECTED,4,Pin 4,,,
20,,,,Pin 5,5,NOT CONNECTED,5,Pin 5,,,
21,,,,Pin 6,6,NOT CONNECTED,6,Pin 6,,,
22,,,,Pin 7,7,NOT CONNECTED,7,Pin 7,,,
23,,,,Pin 8,8,NOT CONNECTED,8,Pin 8,,,
24,,,,Pin 9,9,NOT CONNECTED,9,Pin 9,,,
25,,,,Pin 10,10,NOT CONNECTED,10,Pin 10,,,
26,,,,Pin 11,11,NOT CONNECTED,11,Pin 11,,,
27,,,,Pin 12,12,NOT CONNECTED,12,Pin 12,,,
28,,,,Pin 13,13,NOT CONNECTED,13,Pin 13,,,
29,,,,Pin 14,14,NOT CONNECTED,14,Pin 14,,,
30,,,,Pin 15,15,NOT CONNECTED,15,Pin 15,,,
31,,,,Pin 1,1,NOT CONNECTED,1,Pin 1,,,
32,,,,Pin 2,2,NOT CONNECTED,2,Pin 2,,,
33,,,,Pin 3,3,NOT CONNECTED,3,Pin 3,,,
34,,,,Pin 4,4,NOT CONNECTED,4,Pin 4,,,
35,,,,Pin 5,5,NOT CONNECTED,5,Pin 5,,,
36,,,,Pin 6,6,NOT CONNECTED,6,Pin 6,,,
37,,,,Pin 7,7,NOT CONNECTED,7,Pin 7,,,
